"","municipality_code","index_ineq"
"1","0201011",0.574860349167325
"2","0201022",0.368710000876813
"3","0201032",0.430940207685592
"4","0201043",0.373864179659909
"5","0201052",0.46629128360515
"6","0201062",0.331602455901476
"7","0202011",0.468727384715691
"8","0202033",0.396372364358214
"9","0202041",0.400081937721785
"10","0202062",0.41737192491633
"11","0202073",0.42024634571735
"12","0203011",0.516911093372527
"13","0203032",0.479004836082648
"14","0203042",0.346853016148761
"15","0203052",0.26702188373807
"16","0203062",0.390098327289625
"17","0204013",0.410748536592934
"18","0204022",0.269791772602209
"19","0204032",0.322314879342689
"20","0204043",0.341100984171939
"21","0205023",0.32430819055856
"22","0205032",0.355334160475109
"23","0205042",0.268974457471765
"24","0205052",0.238773306474599
"25","0205062",0.373903421952973
"26","0206011",0.709268895040266
"27","0206031",0.409812576362949
"28","0206041",0.494639190697113
"29","0206062",0.300245887957444
"30","0206072",0.363783450716646
"31","0206082",0.417265692708982
"32","0206092",0.382257446624441
"33","0207011",0.473818534682001
"34","0207022",0.335366923960789
"35","0207033",0.433912841630764
"36","0207042",0.352974866389979
"37","0208011",0.467577531740648
"38","0208021",0.54451291491977
"39","0208031",0.497576010145888
"40","0208041",0.374742985985502
"41","0208051",0.643444394373266
"42","0208063",0.391081373490739
"43","0208072",0.335494465342416
"44","0208083",0.352307692560005
"45","0208092",0.368569443549752
"46","0208103",0.365442666470489
"47","0208112",0.429962897203386
"48","0208123",0.429712921364817
"49","0208133",0.27615499603266
"50","0208143",0.3032126969854
"51","0209011",0.457310435935991
"52","0209022",0.293904723996809
"53","0209032",0.338061494952585
"54","0209042",0.409681672896647
"55","0209052",0.419832409321048
"56","0209062",0.311710553592962
"57","0209073",0.430710981011089
"58","0209082",0.267146576671447
"59","0210011",0.553667064238279
"60","0210021",0.603906131196384
"61","0210033",0.356771257862425
"62","0210053",0.322371621966939
"63","0210072",0.301217415880563
"64","0211011",0.562968462955197
"65","0211022",0.329705936039568
"66","0211032",0.503110299241623
