"","municipality_code","index_ineq"
"1","0201011",0.395227648676639
"2","0201022",0.403564393929566
"3","0201032",0.401944745418882
"4","0201043",0.327407898719806
"5","0201052",0.399728236376984
"6","0201062",0.293677543242294
"7","0202011",0.350370472417477
"8","0202021",0.353214161780284
"9","0202033",0.290235994986028
"10","0202041",0.3186725706612
"11","0202052",0.339153103341788
"12","0202062",0.362639954404326
"13","0202073",0.355103260432317
"14","0203011",0.358207073467031
"15","0203022",0.352147178278514
"16","0203032",0.490951698252478
"17","0203042",0.316034853774917
"18","0203052",0.231293658892701
"19","0203062",0.358219221519727
"20","0204013",0.303580458743787
"21","0204022",0.222412003674012
"22","0204032",0.246545608246683
"23","0204043",0.275238500162662
"24","0205011",0.360136510799803
"25","0205023",0.247341065901658
"26","0205032",0.302556194844159
"27","0205042",0.295168065220699
"28","0205052",0.28233776876587
"29","0205062",0.335675354426917
"30","0206011",0.5750151048289
"31","0206021",0.298970406872932
"32","0206031",0.336880648156362
"33","0206041",0.472238459081551
"34","0206052",0.288085027535083
"35","0206062",0.346493626665522
"36","0206072",0.317403325658373
"37","0206082",0.371590355659051
"38","0206092",0.314138382251156
"39","0207011",0.339532766907136
"40","0207022",0.314584208449496
"41","0207033",0.363977973101591
"42","0207042",0.287606854978276
"43","0208011",0.368740886636539
"44","0208021",0.369630225730637
"45","0208031",0.355172528882493
"46","0208041",0.290185086309818
"47","0208051",0.466878897229707
"48","0208063",0.313215933216972
"49","0208072",0.322061508176551
"50","0208083",0.317554641763598
"51","0208092",0.318005808360137
"52","0208103",0.318360837471145
"53","0208112",0.338374366593953
"54","0208123",0.348541283051522
"55","0208133",0.169556657973874
"56","0208143",0.257084645272057
"57","0209011",0.310228326839209
"58","0209022",0.263650481273839
"59","0209032",0.335077494240225
"60","0209042",0.412842058551833
"61","0209052",0.368742558517972
"62","0209062",0.320621665497838
"63","0209073",0.370873340534585
"64","0209082",0.268566607858306
"65","0210011",0.37923527087056
"66","0210021",0.47345387702778
"67","0210033",0.257633853833908
"68","0210042",0.274460808997858
"69","0210053",0.310236359217388
"70","0210062",0.302730674916423
"71","0210072",0.292642361620239
"72","0211011",0.396528061544936
"73","0211022",0.372870932374603
"74","0211032",0.416044560713219
"75","0211043",0.361630904639016
"76","0212013",0.320692251442438
"77","0212023",0.263333262791679
"78","0212033",0.333449208702613
"79","0212043",0.274214340785927
"80","0212053",0.33475583047177
"81","0213012",0.316298696423666
"82","0213022",0.348641117627326
"83","0213033",0.366475958410704
"84","0214011",0.382239007132889
"85","0214023",0.286037649686599
"86","0214032",0.41806675545857
"87","0214042",0.374980703716637
"88","0214053",0.335934851599711
"89","0214062",0.306805455748337
"90","0214073",0.366706331438934
"91","0214083",0.358961250884008
"92","0215011",0.392923335614255
"93","0215022",0.369784232271179
"94","0215033",0.385141405666997
"95","0215042",0.357612006005495
"96","0216013",0.310379060697178
"97","0216022",0.360645099502844
"98","0216032",0.434533611995712
"99","0216043",0.444659529142045
"100","0216053",0.305397125934804
"101","0216062",0.40423161716763
"102","0217012",0.347814004693337
"103","0217022",0.253734518438454
"104","0217032",0.242471358343032
"105","0217043",0.327995521961188
"106","0217053",0.328995084692027
"107","0218012",0.340425511039357
"108","0218022",0.338414741326964
"109","0218032",0.471503655728853
"110","0218043",0.401963464849808
"111","0218052",0.321376028920613
"112","0219011",0.370035660742935
"113","0219021",0.305057601718203
"114","0219032",0.292994762269189
"115","0219043",0.341060884516776
"116","0219052",0.384336651505209
"117","0219063",0.336374714044154
"118","0219072",0.3889983278358
"119","0219083",0.368281159875619
"120","0220013",0.41310904052078
"121","0220023",0.350228967779309
"122","0220033",0.378422564365233
"123","0220042",0.476850542018397
"124","0220052",0.351894299650735
"125","0220063",0.329038830326804
"126","0221011",0.271456547608808
"127","0221021",0.318695432092214
"128","0221031",0.401846808449404
"129","0221042",0.371343212364991
"130","0221053",0.316538209134377
"131","0221063",0.392707346997666
"132","0221072",0.284494135043287
"133","0221082",0.318414983368775
"134","0222013",0.360087374266614
"135","0222022",0.285758444790839
"136","0222033",0.313923240584788
"137","0223012",0.470311622032484
"138","0223022",0.467207133304183
"139","0223032",0.40045727899332
"140","0223043",0.464955713499705
"141","0223052",0.568401734461751
"142","0223062",0.388563246307926
"143","0223073",0.449642026925584
"144","0223083",0.466197081269819
"145","0223092",0.408555046191809
"146","0224013",0.325178390305173
"147","0224022",0.327747121785595
"148","0224032",0.319561715597454
"149","0224042",0.293313750217616
"150","0224053",0.359204095023169
"151","0224063",0.290800180186254
"152","0224073",0.296747497757815
"153","0225011",0.357716777293838
"154","0225021",0.420096382483536
"155","0225033",0.406625725456939
"156","0225043",0.299776601027017
"157","0225052",0.27882845277729
"158","0225063",0.346883983962582
"159","0225072",0.357940484953952
"160","0226011",0.281593125889439
"161","0226021",0.338308187900845
"162","0226032",0.262556918110027
"163","0226043",0.236669093731606
"164","0226052",0.266915774060016
"165","0226062",0.301281141587269
"166","0261011",0.416959985809877
"167","0262011",0.390729795257014
"168","0264011",0.446686107779954
"169","0265011",0.382992417779091
"170","0401011",0.326991566815276
"171","0401021",0.337682334142925
"172","0401031",0.198140453290635
"173","0401042",0.2190230954856
"174","0401052",0.338533451498441
"175","0401062",0.240980081824821
"176","0401072",0.305006681584531
"177","0401082",0.243358823425801
"178","0401092",0.311219507608497
"179","0402011",0.380916390710736
"180","0402022",0.325246391344828
"181","0402032",0.282886203169098
"182","0402042",0.331186548395722
"183","0402053",0.412937002798118
"184","0402062",0.267949376009492
"185","0402073",0.264863631243881
